//mode,create,,,,,,,,,,,,,,,,,,
Apartments,id,number,type,nameKey,descriptionKey,addressKey,size,featuresKeys,,,,,,,,,,,
,*order87,2019-06-22,2019-06-24,6,1,2,2,0,,,2,,,60000,,,UAH,,
,*order88,2019-06-24,2019-06-26,6,1,2,2,0,,,2,,,60000,,,UAH,,
,*order89,2019-06-26,2019-06-28,6,1,2,2,0,,,2,,,60000,,,UAH,,
,*order90,2019-06-28,2019-06-30,6,1,2,2,0,,,2,,,60000,,,UAH,,
,*order91,2019-06-30,2019-07-02,6,1,2,2,0,,,2,,,60000,,,UAH,,
,*order92,2019-07-02,2019-07-04,6,1,2,2,0,,,2,,,60000,,,UAH,,
,*order93,2019-07-04,2019-07-06,6,1,2,2,0,,,2,,,60000,,,UAH,,
,*order94,2019-07-06,2019-07-08,6,1,2,2,0,,,2,,,60000,,,UAH,,
,*order95,2019-07-08,2019-07-10,6,1,2,2,0,,,2,,,60000,,,UAH,,
,*order96,2019-07-10,2019-07-12,6,1,2,2,0,,,2,,,60000,,,UAH,,
,*order97,2019-07-12,2019-07-14,6,1,2,2,0,,,2,,,60000,,,UAH,,
,*order98,2019-07-14,2019-07-16,6,1,2,2,0,,,2,,,60000,,,UAH,,
,*order99,2019-07-16,2019-07-18,6,1,2,2,0,,,2,,,60000,,,UAH,,
,*order100,2019-07-18,2019-07-20,6,1,2,2,0,,,2,,,60000,,,UAH,,
,*order101,2019-07-20,2019-07-22,6,1,2,2,0,,,2,,,60000,,,UAH,,
,*order102,2019-07-22,2019-07-24,6,1,2,2,0,,,2,,,60000,,,UAH,,
,*order103,2019-07-24,2019-07-26,6,1,2,2,0,,,2,,,60000,,,UAH,,
,*order104,2019-07-26,2019-07-28,6,1,2,2,0,,,2,,,60000,,,UAH,,
,*order105,2019-07-28,2019-07-30,6,1,2,2,0,,,2,,,60000,,,UAH,,
,*order106,2019-07-30,2019-08-01,6,1,2,2,0,,,2,,,60000,,,UAH,,
,*order107,2019-08-01,2019-08-03,6,1,2,2,0,,,2,,,60000,,,UAH,,
,*order108,2019-08-03,2019-08-05,6,1,2,2,0,,,2,,,60000,,,UAH,,
,*order109,2019-08-05,2019-08-07,6,1,2,2,0,,,2,,,60000,,,UAH,,
,*order110,2019-08-07,2019-08-09,6,1,2,2,0,,,2,,,60000,,,UAH,,
,*order111,2019-08-09,2019-08-11,6,1,2,2,0,,,2,,,60000,,,UAH,,
,*order112,2019-08-11,2019-08-13,6,1,2,2,0,,,2,,,60000,,,UAH,,
,*order113,2019-08-13,2019-08-15,6,1,2,2,0,,,2,,,60000,,,UAH,,
,*order114,2019-08-15,2019-08-17,6,1,2,2,0,,,2,,,60000,,,UAH,,
,*order115,2019-08-17,2019-08-19,6,1,2,2,0,,,2,,,60000,,,UAH,,
,*order116,2019-08-19,2019-08-21,6,1,2,2,0,,,2,,,60000,,,UAH,,
,*order117,2019-08-21,2019-08-23,6,1,2,2,0,,,2,,,60000,,,UAH,,
,*order118,2019-08-23,2019-08-25,6,1,2,2,0,,,2,,,60000,,,UAH,,
,*order119,2019-08-25,2019-08-27,6,1,2,2,0,,,2,,,60000,,,UAH,,
,*order120,2019-08-27,2019-08-29,6,1,2,2,0,,,2,,,60000,,,UAH,,
,*order121,2019-08-29,2019-08-31,6,1,2,2,0,,,2,,,60000,,,UAH,,
,*order122,2019-08-31,2019-09-02,6,1,2,2,0,,,2,,,60000,,,UAH,,
,*order123,2019-09-02,2019-09-04,6,1,2,2,0,,,2,,,60000,,,UAH,,
,*order124,2019-09-04,2019-09-06,6,1,2,2,0,,,2,,,60000,,,UAH,,
,*order125,2019-09-06,2019-09-08,6,1,2,2,0,,,2,,,60000,,,UAH,,
,*order126,2019-09-08,2019-09-10,6,1,2,2,0,,,2,,,60000,,,UAH,,
,*order127,2019-09-10,2019-09-12,6,1,2,2,0,,,2,,,60000,,,UAH,,
,*order128,2019-09-12,2019-09-14,6,1,2,2,0,,,2,,,60000,,,UAH,,
,*order129,2019-09-14,2019-09-16,6,1,2,2,0,,,2,,,60000,,,UAH,,
,*order130,2019-09-16,2019-09-18,6,1,2,2,0,,,2,,,60000,,,UAH,,
,*order131,2019-09-18,2019-09-20,6,1,2,2,0,,,2,,,60000,,,UAH,,
,*order132,2019-09-20,2019-09-22,6,1,2,2,0,,,2,,,60000,,,UAH,,
,*order133,2019-09-22,2019-09-24,6,1,2,2,0,,,2,,,60000,,,UAH,,
,*order134,2019-09-24,2019-09-26,6,1,2,2,0,,,2,,,60000,,,UAH,,
,*order135,2019-09-26,2019-09-28,6,1,2,2,0,,,2,,,60000,,,UAH,,
,*order136,2019-09-28,2019-09-30,6,1,2,2,0,,,2,,,60000,,,UAH,,
,*order137,2019-09-30,2019-10-02,6,1,2,2,0,,,2,,,60000,,,UAH,,
,*order138,2019-10-02,2019-10-04,6,1,2,2,0,,,2,,,60000,,,UAH,,
,*order139,2019-10-04,2019-10-06,6,1,2,2,0,,,2,,,60000,,,UAH,,
,*order140,2019-10-06,2019-10-08,6,1,2,2,0,,,2,,,60000,,,UAH,,
,*order141,2019-10-08,2019-10-10,6,1,2,2,0,,,2,,,60000,,,UAH,,
,*order142,2019-10-10,2019-10-12,6,1,2,2,0,,,2,,,60000,,,UAH,,
,*order143,2019-10-12,2019-10-14,6,1,2,2,0,,,2,,,60000,,,UAH,,
,*order144,2019-10-14,2019-10-16,6,1,2,2,0,,,2,,,60000,,,UAH,,
,*order145,2019-10-16,2019-10-18,6,1,2,2,0,,,2,,,60000,,,UAH,,
,*order146,2019-10-18,2019-10-20,6,1,2,2,0,,,2,,,60000,,,UAH,,
,*order147,2019-10-20,2019-10-22,6,1,2,2,0,,,2,,,60000,,,UAH,,
,*order148,2019-10-22,2019-10-24,6,1,2,2,0,,,2,,,60000,,,UAH,,
,*order149,2019-10-24,2019-10-26,6,1,2,2,0,,,2,,,60000,,,UAH,,
,*order150,2019-10-26,2019-10-28,6,1,2,2,0,,,2,,,60000,,,UAH,,
,*order151,2019-10-28,2019-10-30,6,1,2,2,0,,,2,,,60000,,,UAH,,
,*order152,2019-10-30,2019-11-01,6,1,2,2,0,,,2,,,60000,,,UAH,,
,*order153,2019-11-01,2019-11-03,6,1,2,2,0,,,2,,,60000,,,UAH,,
,*order154,2019-11-03,2019-11-05,6,1,2,2,0,,,2,,,60000,,,UAH,,
,*order155,2019-11-05,2019-11-07,6,1,2,2,0,,,2,,,60000,,,UAH,,
,*order156,2019-11-07,2019-11-09,6,1,2,2,0,,,2,,,60000,,,UAH,,
,*order157,2019-11-09,2019-11-11,6,1,2,2,0,,,2,,,60000,,,UAH,,
,*order158,2019-11-11,2019-11-13,6,1,2,2,0,,,2,,,60000,,,UAH,,
,*order159,2019-11-13,2019-11-15,6,1,2,2,0,,,2,,,60000,,,UAH,,
,*order160,2019-11-15,2019-11-17,6,1,2,2,0,,,2,,,60000,,,UAH,,
,*order161,2019-11-17,2019-11-19,6,1,2,2,0,,,2,,,60000,,,UAH,,
,*order162,2019-11-19,2019-11-21,6,1,2,2,0,,,2,,,60000,,,UAH,,
,*order163,2019-11-21,2019-11-23,6,1,2,2,0,,,2,,,60000,,,UAH,,
,*order164,2019-11-23,2019-11-25,6,1,2,2,0,,,2,,,60000,,,UAH,,
,*order165,2019-11-25,2019-11-27,6,1,2,2,0,,,2,,,60000,,,UAH,,
,*order166,2019-11-27,2019-11-29,6,1,2,2,0,,,2,,,60000,,,UAH,,
,*order167,2019-11-29,2019-12-01,6,1,2,2,0,,,2,,,60000,,,UAH,,
,*order168,2019-12-01,2019-12-03,6,1,2,2,0,,,2,,,60000,,,UAH,,
,*order169,2019-12-03,2019-12-05,6,1,2,2,0,,,2,,,60000,,,UAH,,
,*order170,2019-12-05,2019-12-07,6,1,2,2,0,,,2,,,60000,,,UAH,,
,*order171,2019-12-07,2019-12-09,6,1,2,2,0,,,2,,,60000,,,UAH,,
,*order172,2019-12-09,2019-12-11,6,1,2,2,0,,,2,,,60000,,,UAH,,
,*order173,2019-12-11,2019-12-13,6,1,2,2,0,,,2,,,60000,,,UAH,,
,*order174,2019-12-13,2019-12-15,6,1,2,2,0,,,2,,,60000,,,UAH,,
,*order175,2019-12-15,2019-12-17,6,1,2,2,0,,,2,,,60000,,,UAH,,
,*order176,2019-12-17,2019-12-19,6,1,2,2,0,,,2,,,60000,,,UAH,,
,*order177,2019-12-19,2019-12-21,6,1,2,2,0,,,2,,,60000,,,UAH,,
,*order178,2019-12-21,2019-12-23,6,1,2,2,0,,,2,,,60000,,,UAH,,
,*order179,2019-12-23,2019-12-25,6,1,2,2,0,,,2,,,60000,,,UAH,,
,*order180,2019-12-25,2019-12-27,6,1,2,2,0,,,2,,,60000,,,UAH,,
,*order181,2019-12-27,2019-12-29,6,1,2,2,0,,,2,,,60000,,,UAH,,
,*order182,2019-12-29,2019-12-31,6,1,2,2,0,,,2,,,60000,,,UAH,,
,*order183,2019-12-31,2020-01-02,6,1,2,2,0,,,2,,,60000,,,UAH,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
ApartmentDays,Apartment_Id,date,status,isCleaned,revenue,Currency_currencyCode,priceFactor,order_id,,,,,,,,,,,
,6,2019-01-01,1,TRUE,30000,UAH,1,*order1,,,,,,,,,,,
,6,2019-01-02,1,TRUE,30000,UAH,1,*order1,,,,,,,,,,,
,6,2019-01-03,1,TRUE,30000,UAH,1,*order2,,,,,,,,,,,
,6,2019-01-04,1,TRUE,30000,UAH,1,*order2,,,,,,,,,,,
,6,2019-01-05,1,TRUE,30000,UAH,1,*order3,,,,,,,,,,,
,6,2019-01-06,1,TRUE,30000,UAH,1,*order3,,,,,,,,,,,
,6,2019-01-07,1,TRUE,30000,UAH,1,*order4,,,,,,,,,,,
,6,2019-01-08,1,TRUE,30000,UAH,1,*order4,,,,,,,,,,,
,6,2019-01-09,1,TRUE,30000,UAH,1,*order5,,,,,,,,,,,
,6,2019-01-10,1,TRUE,30000,UAH,1,*order5,,,,,,,,,,,
,6,2019-01-11,1,TRUE,30000,UAH,1,*order6,,,,,,,,,,,
,6,2019-01-12,1,TRUE,30000,UAH,1,*order6,,,,,,,,,,,
,6,2019-01-13,1,TRUE,30000,UAH,1,*order7,,,,,,,,,,,
,6,2019-01-14,1,TRUE,30000,UAH,1,*order7,,,,,,,,,,,
,6,2019-01-15,1,TRUE,30000,UAH,1,*order8,,,,,,,,,,,
,6,2019-01-16,1,TRUE,30000,UAH,1,*order8,,,,,,,,,,,
,6,2019-01-17,1,TRUE,30000,UAH,1,*order9,,,,,,,,,,,
,6,2019-01-18,1,TRUE,30000,UAH,1,*order9,,,,,,,,,,,
,6,2019-01-19,1,TRUE,30000,UAH,1,*order10,,,,,,,,,,,
,6,2019-01-20,1,TRUE,30000,UAH,1,*order10,,,,,,,,,,,
,6,2019-01-21,1,TRUE,30000,UAH,1,*order11,,,,,,,,,,,
,6,2019-01-22,1,TRUE,30000,UAH,1,*order11,,,,,,,,,,,
,6,2019-01-23,1,TRUE,30000,UAH,1,*order12,,,,,,,,,,,
,6,2019-01-24,1,TRUE,30000,UAH,1,*order12,,,,,,,,,,,
,6,2019-01-25,1,TRUE,30000,UAH,1,*order13,,,,,,,,,,,
,6,2019-01-26,1,TRUE,30000,UAH,1,*order13,,,,,,,,,,,
,6,2019-01-27,1,TRUE,30000,UAH,1,*order14,,,,,,,,,,,
,6,2019-01-28,1,TRUE,30000,UAH,1,*order14,,,,,,,,,,,
,6,2019-01-29,1,TRUE,30000,UAH,1,*order15,,,,,,,,,,,
,6,2019-01-30,1,TRUE,30000,UAH,1,*order15,,,,,,,,,,,
,6,2019-01-31,1,TRUE,30000,UAH,1,*order16,,,,,,,,,,,
,6,2019-02-01,1,TRUE,30000,UAH,1,*order16,,,,,,,,,,,
,6,2019-02-02,1,TRUE,30000,UAH,1,*order17,,,,,,,,,,,
,6,2019-02-03,1,TRUE,30000,UAH,1,*order17,,,,,,,,,,,
,6,2019-02-04,1,TRUE,30000,UAH,1,*order18,,,,,,,,,,,
,6,2019-02-05,1,TRUE,30000,UAH,1,*order18,,,,,,,,,,,
,6,2019-02-06,1,TRUE,30000,UAH,1,*order19,,,,,,,,,,,
,6,2019-02-07,1,TRUE,30000,UAH,1,*order19,,,,,,,,,,,
,6,2019-02-08,1,TRUE,30000,UAH,1,*order20,,,,,,,,,,,
,6,2019-02-09,1,TRUE,30000,UAH,1,*order20,,,,,,,,,,,
,6,2019-02-10,1,TRUE,30000,UAH,1,*order21,,,,,,,,,,,
,6,2019-02-11,1,TRUE,30000,UAH,1,*order21,,,,,,,,,,,
,6,2019-02-12,1,TRUE,30000,UAH,1,*order22,,,,,,,,,,,
,6,2019-02-13,1,TRUE,30000,UAH,1,*order22,,,,,,,,,,,
,6,2019-02-14,1,TRUE,30000,UAH,1,*order23,,,,,,,,,,,
,6,2019-02-15,1,TRUE,30000,UAH,1,*order23,,,,,,,,,,,
,6,2019-02-16,1,TRUE,30000,UAH,1,*order24,,,,,,,,,,,
,6,2019-02-17,1,TRUE,30000,UAH,1,*order24,,,,,,,,,,,
,6,2019-02-18,1,TRUE,30000,UAH,1,*order25,,,,,,,,,,,
,6,2019-02-19,1,TRUE,30000,UAH,1,*order25,,,,,,,,,,,
,6,2019-02-20,1,TRUE,30000,UAH,1,*order26,,,,,,,,,,,
,6,2019-02-21,1,TRUE,30000,UAH,1,*order26,,,,,,,,,,,
,6,2019-02-22,1,TRUE,30000,UAH,1,*order27,,,,,,,,,,,
,6,2019-02-23,1,TRUE,30000,UAH,1,*order27,,,,,,,,,,,
,6,2019-02-24,1,TRUE,30000,UAH,1,*order28,,,,,,,,,,,
,6,2019-02-25,1,TRUE,30000,UAH,1,*order28,,,,,,,,,,,
,6,2019-02-26,1,TRUE,30000,UAH,1,*order29,,,,,,,,,,,
,6,2019-02-27,1,TRUE,30000,UAH,1,*order29,,,,,,,,,,,
,6,2019-02-28,1,TRUE,30000,UAH,1,*order30,,,,,,,,,,,
,6,2019-03-01,1,TRUE,30000,UAH,1,*order30,,,,,,,,,,,
,6,2019-03-02,1,TRUE,30000,UAH,1,*order31,,,,,,,,,,,
,6,2019-03-03,1,TRUE,30000,UAH,1,*order31,,,,,,,,,,,
,6,2019-03-04,1,TRUE,30000,UAH,1,*order32,,,,,,,,,,,
,6,2019-03-05,1,TRUE,30000,UAH,1,*order32,,,,,,,,,,,
,6,2019-03-06,1,TRUE,30000,UAH,1,*order33,,,,,,,,,,,
,6,2019-03-07,1,TRUE,30000,UAH,1,*order33,,,,,,,,,,,
,6,2019-03-08,1,TRUE,30000,UAH,1,*order34,,,,,,,,,,,
,6,2019-03-09,1,TRUE,30000,UAH,1,*order34,,,,,,,,,,,
,6,2019-03-10,1,TRUE,30000,UAH,1,*order35,,,,,,,,,,,
,6,2019-03-11,1,TRUE,30000,UAH,1,*order35,,,,,,,,,,,
,6,2019-03-12,1,TRUE,30000,UAH,1,*order36,,,,,,,,,,,
,6,2019-03-13,1,TRUE,30000,UAH,1,*order36,,,,,,,,,,,
,6,2019-03-14,1,TRUE,30000,UAH,1,*order37,,,,,,,,,,,
,6,2019-03-15,1,TRUE,30000,UAH,1,*order37,,,,,,,,,,,
,6,2019-03-16,1,TRUE,30000,UAH,1,*order38,,,,,,,,,,,
,6,2019-03-17,1,TRUE,30000,UAH,1,*order38,,,,,,,,,,,
,6,2019-03-18,1,TRUE,30000,UAH,1,*order39,,,,,,,,,,,
,6,2019-03-19,1,TRUE,30000,UAH,1,*order39,,,,,,,,,,,
,6,2019-03-20,1,TRUE,30000,UAH,1,*order40,,,,,,,,,,,
,6,2019-03-21,1,TRUE,30000,UAH,1,*order40,,,,,,,,,,,
,6,2019-03-22,1,TRUE,30000,UAH,1,*order41,,,,,,,,,,,
